class,subclass
Q67454740,Q5523292
Q67454740,Q6149896
Q67454740,Q12068123
Q4070685,Q4070685
Q11267645,Q11267645
Q5913321,Q5913321
Q47566,Q47566
Q11589683,Q11589683
Q11589683,Q11614282
Q22696274,Q22696274
Q7302881,Q7302881
Q9026907,Q9026907
Q9026907,Q1475448
Q106691645,Q106691645
Q1144784,Q1144784
Q1144784,Q774461
Q1144784,Q56771420
Q10271630,Q10271630
Q2996400,Q2996400
Q205585,Q205585
Q205585,Q3301939
Q2139567,Q2139567
Q13538715,Q13538715
Q92482736,Q92482736
Q4321,Q4321
Q4321,Q944780
Q4321,Q2067286
Q4321,Q12352119
Q4321,Q65961856
Q4321,Q97305227
Q4321,Q104908921
Q4321,Q245
Q4321,Q135831
Q4321,Q151863
Q4321,Q178930
Q4321,Q812912
Q4321,Q1322286
Q4321,Q1448332
Q4321,Q2863283
Q4321,Q3006702
Q4321,Q3349382
Q4321,Q3359592
Q4321,Q4249068
Q4321,Q5970964
Q4321,Q7119740
Q4321,Q11249440
Q4321,Q12746794
Q4321,Q14847925
Q4321,Q15726709
Q4321,Q16667814
Q4321,Q16837517
Q4321,Q18356394
Q4321,Q19971634
Q4321,Q21233311
Q4321,Q21809706
Q4321,Q22770856
Q4321,Q25519213
Q4321,Q28945238
Q4321,Q30593985
Q4321,Q48928204
Q4321,Q48928976
Q4321,Q64821105
Q4321,Q65015606
Q4321,Q65037576
Q4321,Q109380469
Q4321,Q15711760
Q4321,Q15711761
Q4321,Q48918363
Q4321,Q48920099
Q4321,Q48927082
Q4321,Q49639361
Q4321,Q51137362
Q4321,Q58882263
Q4321,Q20707763
Q4321,Q56583667
Q4321,Q56583797
Q4504516,Q4504516
Q6317275,Q6317275
Q6317275,Q874618
Q65770905,Q65770905
Q65770905,Q1872557
Q24715411,Q24715411
Q11890047,Q11890047
Q11890047,Q3586831
Q11890047,Q3586832
Q11890047,Q3586834
Q11890047,Q3586835
Q11890047,Q3586838
Q11890047,Q3586840
Q11890047,Q16684585
Q11890047,Q97292900
Q11890047,Q60854016
Q11890047,Q62011419
Q11890047,Q62011463
Q11890047,Q19951941
Q11890047,Q21426489
Q11890047,Q3586716
Q11890047,Q52392693
Q11890047,Q100392103
Q11890047,Q3586734
Q11890047,Q3586740
Q11890047,Q3586757
Q11890047,Q18400153
Q11890047,Q19544378
Q11890047,Q19544384
Q11890047,Q19544385
Q11890047,Q19544390
Q11890047,Q19544393
Q11890047,Q19544407
Q11890047,Q19544424
Q11890047,Q19544434
Q11890047,Q19544446
Q11890047,Q19544457
Q11890047,Q19544458
Q11890047,Q19544460
Q11890047,Q20723955
Q11890047,Q97273737
Q11890047,Q97365604
Q11890047,Q97728938
Q11890047,Q100393529
Q11890047,Q100458400
Q11890047,Q100458525
Q11890047,Q100458691
Q11890047,Q100458780
Q11890047,Q100458838
Q11890047,Q100458931
Q11890047,Q100459125
Q11890047,Q100459319
Q11890047,Q100459495
Q11890047,Q101442571
Q11890047,Q101464718
Q11890047,Q101464937
Q11890047,Q101465135
Q11890047,Q101465286
Q11890047,Q101465464
Q11890047,Q101465641
Q11890047,Q101465816
Q11890047,Q101466018
Q11890047,Q101466197
Q11890047,Q101466371
Q11890047,Q101466540
Q11890047,Q101552796
Q11890047,Q101558899
Q11890047,Q101559306
Q11890047,Q101559475
Q11890047,Q101833672
Q2839017,Q2839017
Q2839017,Q205364
Q2839017,Q701198
Q2839017,Q1061047
Q2839017,Q14914926
