ACE,transitive_cnt,type_label,type,#type_instances,property,property_label,count,also_known,data_type,constraint_label_list,constraint_class_list,tail_cnt
Q1156895,491,heritage designation,Q30634609,456,P17,country,435,"sovereign state, land, state, host country",http://wikiba.se/ontology#WikibaseItem,"['country', 'state', 'federation', 'empire', 'provisional government', 'polis', 'dependent territory', 'confederation', 'Roman province', 'ancient Chinese state', 'fictional country', 'client state', 'realm', 'subject of international law', 'occupied territory', 'historical country', 'sovereign state', 'fictional location', 'disputed territory', 'mythical place', 'state in the Holy Roman Empire', 'ancient civilization']","['Q6256', 'Q7275', 'Q43702', 'Q48349', 'Q59281', 'Q148837', 'Q161243', 'Q170156', 'Q182547', 'Q836688', 'Q1145276', 'Q1151405', 'Q1250464', 'Q1896989', 'Q2577883', 'Q3024240', 'Q3624078', 'Q3895768', 'Q15239622', 'Q24334893', 'Q26830017', 'Q28171280']","{'Q6256': 385, 'Q3624078': 431, 'Q512187': 165, 'Q1489259': 44, 'Q1520223': 72, 'Q5255892': 59, 'Q859563': 105, 'Q4209223': 101, 'Q112099': 58, 'Q15634554': 14, 'Q20181813': 41, 'Q7270': 15, 'Q51576574': 12, 'Q202686': 17, 'Q1250464': 13, 'Q118365': 6, 'Q465613': 6, 'Q842112': 6, 'Q849866': 7, 'Q63791824': 22, 'Q6266': 20, 'Q41614': 2, 'Q179164': 14, 'Q48349': 5, 'Q611214': 5, 'Q43702': 7, 'Q619610': 3, 'Q123480': 1, 'Q1323642': 1, 'Q223832': 4}"
Q1156895,491,heritage designation,Q30634609,456,P1001,applies to jurisdiction,266,"applies to region, applies to geographic place, applies to geographic area, applies to area, valid in jurisdiction, of jurisdiction, linked to jurisdiction, country of jurisdiction, belongs to jurisdiction, applies to territorial jurisdiction, applied to jurisdiction, jurisdiction, applies to place",http://wikiba.se/ontology#WikibaseItem,"['university', 'government', 'political party', 'public administration', 'Christian Church', 'port', 'administrative territorial entity', 'geographic region', 'political territorial entity', 'district of New Zealand', 'First Nation band', 'sovereign state', 'fictional location', 'jurisdiction', 'legal proceeding', 'religious administrative territorial entity', 'geographic entity', 'country in a fiction work']","['Q3918', 'Q7188', 'Q7278', 'Q31728', 'Q34651', 'Q44782', 'Q56061', 'Q82794', 'Q1048835', 'Q2881272', 'Q2882257', 'Q3624078', 'Q3895768', 'Q5982983', 'Q6087062', 'Q20926517', 'Q27096213', 'Q57662985']","{'Q6256': 27, 'Q512187': 15, 'Q859563': 3, 'Q3624078': 30, 'Q4209223': 2, 'Q515': 30, 'Q5119': 21, 'Q1549591': 65, 'Q3184121': 60, 'Q51929311': 4, 'Q11828004': 50, 'Q10742': 18, 'Q1637706': 19, 'Q50330360': 3, 'Q485258': 34, 'Q2264924': 2, 'Q62049': 7, 'Q1093829': 10, 'Q41614': 1, 'Q13218391': 3, 'Q83057': 2, 'Q6266': 9, 'Q56061': 8, 'Q192611': 8, 'Q475050': 8, 'Q1094397': 8, 'Q1422929': 8, 'Q10864048': 8, 'Q50337': 2, 'Q486972': 1, 'Q1025961': 1, 'Q3788231': 1, 'Q21507383': 6, 'Q2736168': 8, 'Q3024240': 1, 'Q779415': 4, 'Q494721': 2, 'Q1749269': 1, 'Q65589340': 1, 'Q4925355': 1, 'Q9357527': 3, 'Q104117291': 5, 'Q3301053': 1, 'Q3559093': 1, 'Q48349': 2, 'Q611214': 2, 'Q1520223': 7, 'Q5255892': 7, 'Q7270': 4, 'Q51576574': 2, 'Q35657': 7, 'Q1221156': 1, 'Q200250': 1, 'Q856076': 1, 'Q3750285': 5, 'Q2074737': 1, 'Q902814': 1, 'Q13217644': 4, 'Q15647906': 4, 'Q17143371': 4, 'Q15221310': 1, 'Q21518270': 2, 'Q13212489': 1, 'Q5852411': 1, 'Q482821': 1, 'Q29045252': 6, 'Q15901936': 1, 'Q395994': 1, 'Q27495502': 1, 'Q748149': 1, 'Q1489259': 5, 'Q44551483': 3, 'Q3502482': 1, 'Q13410403': 1, 'Q108454666': 1, 'Q108454687': 1}"
Q1156895,491,heritage designation,Q30634609,456,P137,operator,87,"webmaster, service operator, operated by, managed by, item operator, facility operator, user, administrator",http://wikiba.se/ontology#WikibaseItem,"['human', 'organization', 'administrative territorial entity', 'fictional character', 'project', 'person', 'control room', 'occupation', 'fictional organization', 'association', 'group of humans', 'public transport network']","['Q5', 'Q43229', 'Q56061', 'Q95074', 'Q170584', 'Q215627', 'Q390516', 'Q12737077', 'Q14623646', 'Q15911314', 'Q16334295', 'Q18325841']","{'Q327333': 16, 'Q28106049': 11, 'Q45400320': 3, 'Q3315493': 6, 'Q19973770': 9, 'Q19983480': 6, 'Q157031': 2, 'Q178706': 2, 'Q35798': 2, 'Q3640798': 12, 'Q6501447': 2, 'Q43229': 18, 'Q1188075': 20, 'Q108663995': 1, 'Q11028': 1, 'Q15285626': 1, 'Q15925165': 1, 'Q2446662': 1, 'Q2516426': 1, 'Q6867215': 1, 'Q15409298': 1, 'Q4358176': 2, 'Q1802419': 1, 'Q11221827': 2, 'Q1664720': 1, 'Q2659904': 2, 'Q4164871': 1, 'Q3152824': 1, 'Q5774403': 1, 'Q7603363': 1, 'Q52341833': 1, 'Q955824': 1, 'Q5119': 1, 'Q1549591': 1, 'Q44551483': 1, 'Q10742': 1, 'Q31855': 1, 'Q7188': 1, 'Q484652': 1}"
Q102252225,152,coronation,Q209715,10,P276,location,9,"place held, moveable object location, location of item, located in, located, is in, locale, in, based in, region, event location, venue, locality, neighborhood",http://wikiba.se/ontology#WikibaseItem,"['planet', 'orbit', 'mass media', 'park', 'soil', 'tissue', 'geographic region', 'organ system', 'Lagrangian point', 'geographical feature', 'organ', 'club', 'interior space', 'event', 'space', 'educational institution', 'fictional location', 'anatomical structure', 'part', 'location', 'venue', 'event venue', 'extremity', 'mythical place', 'geographic entity', 'shell of an astronomical object', 'everywhere']","['Q634', 'Q4130', 'Q11033', 'Q22698', 'Q36133', 'Q40397', 'Q82794', 'Q188193', 'Q190463', 'Q618123', 'Q712378', 'Q988108', 'Q1299240', 'Q1656682', 'Q2133296', 'Q2385804', 'Q3895768', 'Q4936952', 'Q15989253', 'Q17334923', 'Q17350442', 'Q18674739', 'Q20203388', 'Q24334893', 'Q27096213', 'Q47495022', 'Q89464513']","{'Q515': 2, 'Q5119': 2, 'Q1549591': 2, 'Q6784672': 1, 'Q843886': 1, 'Q902814': 1, 'Q16970': 3, 'Q56242215': 2, 'Q570116': 1, 'Q1200957': 1, 'Q2065736': 1, 'Q56242235': 1, 'Q2977': 1, 'Q79324274': 1, 'Q23413': 1, 'Q33506': 1, 'Q53536964': 1, 'Q19860854': 1}"
Q102252225,152,coronation,Q209715,10,P585,point in time,9,"time of event, on, event date, during, by date, at time, as of, when, time, year, date",http://wikiba.se/ontology#Time,,,{}
Q102252225,152,coronation,Q209715,10,P17,country,7,"sovereign state, land, state, host country",http://wikiba.se/ontology#WikibaseItem,"['country', 'state', 'federation', 'empire', 'provisional government', 'polis', 'dependent territory', 'confederation', 'Roman province', 'ancient Chinese state', 'fictional country', 'client state', 'realm', 'subject of international law', 'occupied territory', 'historical country', 'sovereign state', 'fictional location', 'disputed territory', 'mythical place', 'state in the Holy Roman Empire', 'ancient civilization']","['Q6256', 'Q7275', 'Q43702', 'Q48349', 'Q59281', 'Q148837', 'Q161243', 'Q170156', 'Q182547', 'Q836688', 'Q1145276', 'Q1151405', 'Q1250464', 'Q1896989', 'Q2577883', 'Q3024240', 'Q3624078', 'Q3895768', 'Q15239622', 'Q24334893', 'Q26830017', 'Q28171280']","{'Q6256': 3, 'Q41614': 1, 'Q3624078': 3, 'Q7270': 1, 'Q123480': 1, 'Q48349': 1, 'Q3024240': 4, 'Q681026': 1, 'Q26830017': 1}"
Q2296401,4,phone conversation,Q2996400,2,P3342,significant person,8,"associated person, associated people, friends, friend, significant people, sign. person, person associated with the subject, notable person, notable people, key person, key people",http://wikiba.se/ontology#WikibaseItem,"['fictional character', 'person', 'mythical character']","['Q95074', 'Q215627', 'Q4271324']",{'Q5': 8}
Q2296401,4,phone conversation,Q2996400,2,P710,participant,4,"suspect, player, participants, event participant, competitor, between, belligerents, attendee, party, accused, agent",http://wikiba.se/ontology#WikibaseItem,"['human', 'cooperative', 'system', 'coalition', 'project', 'interview', 'agreement', 'tournament', 'occurrence', 'process', 'sports competition', 'fictional event', 'group of humans', 'mythical event', 'race result', 'creative work season']","['Q5', 'Q4539', 'Q58778', 'Q124964', 'Q170584', 'Q178651', 'Q321839', 'Q500834', 'Q1190554', 'Q3249551', 'Q13406554', 'Q14136353', 'Q16334295', 'Q24336466', 'Q54933017', 'Q70990126']",{'Q5': 4}
Q2296401,4,phone conversation,Q2996400,2,P276,location,2,"place held, moveable object location, location of item, located in, located, is in, locale, in, based in, region, event location, venue, locality, neighborhood",http://wikiba.se/ontology#WikibaseItem,"['planet', 'orbit', 'mass media', 'park', 'soil', 'tissue', 'geographic region', 'organ system', 'Lagrangian point', 'geographical feature', 'organ', 'club', 'interior space', 'event', 'space', 'educational institution', 'fictional location', 'anatomical structure', 'part', 'location', 'venue', 'event venue', 'extremity', 'mythical place', 'geographic entity', 'shell of an astronomical object', 'everywhere']","['Q634', 'Q4130', 'Q11033', 'Q22698', 'Q36133', 'Q40397', 'Q82794', 'Q188193', 'Q190463', 'Q618123', 'Q712378', 'Q988108', 'Q1299240', 'Q1656682', 'Q2133296', 'Q2385804', 'Q3895768', 'Q4936952', 'Q15989253', 'Q17334923', 'Q17350442', 'Q18674739', 'Q20203388', 'Q24334893', 'Q27096213', 'Q47495022', 'Q89464513']","{'Q5119': 1, 'Q1200957': 1, 'Q1637706': 1, 'Q5124045': 1, 'Q7930989': 1, 'Q51929311': 1, 'Q180516': 1, 'Q1772543': 1}"
Q2296401,4,phone conversation,Q2996400,2,P585,point in time,2,"time of event, on, event date, during, by date, at time, as of, when, time, year, date",http://wikiba.se/ontology#Time,,,{}
Q2296401,4,phone conversation,Q2996400,2,P1542,has effect,2,"led to, has symptom, has result, has outcome, causes, cause of, result, consequence, implies, effect, outcome",http://wikiba.se/ontology#WikibaseItem,,,"{'Q1255828': 1, 'Q1949797': 1}"
Q2296401,4,phone conversation,Q2996400,2,P17,country,2,"sovereign state, land, state, host country",http://wikiba.se/ontology#WikibaseItem,"['country', 'state', 'federation', 'empire', 'provisional government', 'polis', 'dependent territory', 'confederation', 'Roman province', 'ancient Chinese state', 'fictional country', 'client state', 'realm', 'subject of international law', 'occupied territory', 'historical country', 'sovereign state', 'fictional location', 'disputed territory', 'mythical place', 'state in the Holy Roman Empire', 'ancient civilization']","['Q6256', 'Q7275', 'Q43702', 'Q48349', 'Q59281', 'Q148837', 'Q161243', 'Q170156', 'Q182547', 'Q836688', 'Q1145276', 'Q1151405', 'Q1250464', 'Q1896989', 'Q2577883', 'Q3024240', 'Q3624078', 'Q3895768', 'Q15239622', 'Q24334893', 'Q26830017', 'Q28171280']","{'Q6256': 2, 'Q512187': 1, 'Q1489259': 1, 'Q1520223': 1, 'Q3624078': 2, 'Q5255892': 2, 'Q112099': 1, 'Q15634554': 1}"
Q2296401,4,phone conversation,Q2996400,2,P1269,facet of,1,"topic of, subtopic of, subject in, subitem of, section in, main topic, aspect of",http://wikiba.se/ontology#WikibaseItem,,,{'Q1255828': 1}
Q2296401,4,phone conversation,Q2996400,2,P2936,language used,1,"working languages, working language, languages used, medium of instruction, used language",http://wikiba.se/ontology#WikibaseItem,"['language family', 'dialect', 'language', 'dialect group', 'fictional language', 'logographic writing system']","['Q25295', 'Q33384', 'Q34770', 'Q1208380', 'Q2623733', 'Q3953107']","{'Q33742': 1, 'Q34770': 1, 'Q1288568': 1}"
Q193078,118,poisoning,Q114953,12,P780,symptoms and signs,35,"has symptom, symptoms",http://wikiba.se/ontology#WikibaseItem,"['symptom', 'clinical sign', 'fictional entity']","['Q169872', 'Q1441305', 'Q14897293']","{'Q1441305': 4, 'Q2057971': 1, 'Q42014143': 1, 'Q60539481': 1, 'Q169872': 4, 'Q54928607': 2, 'Q30897648': 2, 'Q3955369': 1, 'Q1931388': 1}"
Q193078,118,poisoning,Q114953,12,P276,location,9,"place held, moveable object location, location of item, located in, located, is in, locale, in, based in, region, event location, venue, locality, neighborhood",http://wikiba.se/ontology#WikibaseItem,"['planet', 'orbit', 'mass media', 'park', 'soil', 'tissue', 'geographic region', 'organ system', 'Lagrangian point', 'geographical feature', 'organ', 'club', 'interior space', 'event', 'space', 'educational institution', 'fictional location', 'anatomical structure', 'part', 'location', 'venue', 'event venue', 'extremity', 'mythical place', 'geographic entity', 'shell of an astronomical object', 'everywhere']","['Q634', 'Q4130', 'Q11033', 'Q22698', 'Q36133', 'Q40397', 'Q82794', 'Q188193', 'Q190463', 'Q618123', 'Q712378', 'Q988108', 'Q1299240', 'Q1656682', 'Q2133296', 'Q2385804', 'Q3895768', 'Q4936952', 'Q15989253', 'Q17334923', 'Q17350442', 'Q18674739', 'Q20203388', 'Q24334893', 'Q27096213', 'Q47495022', 'Q89464513']","{'Q3624078': 1, 'Q63791824': 1, 'Q12443800': 1, 'Q515': 1, 'Q1115575': 2, 'Q27104997': 1, 'Q3957': 1, 'Q839954': 1, 'Q3918': 1, 'Q16077796': 1, 'Q98658352': 1, 'Q486972': 1, 'Q79007': 1}"
Q193078,118,poisoning,Q114953,12,P17,country,7,"sovereign state, land, state, host country",http://wikiba.se/ontology#WikibaseItem,"['country', 'state', 'federation', 'empire', 'provisional government', 'polis', 'dependent territory', 'confederation', 'Roman province', 'ancient Chinese state', 'fictional country', 'client state', 'realm', 'subject of international law', 'occupied territory', 'historical country', 'sovereign state', 'fictional location', 'disputed territory', 'mythical place', 'state in the Holy Roman Empire', 'ancient civilization']","['Q6256', 'Q7275', 'Q43702', 'Q48349', 'Q59281', 'Q148837', 'Q161243', 'Q170156', 'Q182547', 'Q836688', 'Q1145276', 'Q1151405', 'Q1250464', 'Q1896989', 'Q2577883', 'Q3024240', 'Q3624078', 'Q3895768', 'Q15239622', 'Q24334893', 'Q26830017', 'Q28171280']","{'Q6256': 6, 'Q112099': 2, 'Q202686': 2, 'Q1250464': 2, 'Q3624078': 7, 'Q20181813': 2, 'Q118365': 1, 'Q465613': 1, 'Q842112': 1, 'Q849866': 1, 'Q859563': 1, 'Q1520223': 3, 'Q15634554': 1, 'Q63791824': 1, 'Q7270': 2, 'Q512187': 2, 'Q5255892': 2}"
Q193078,118,poisoning,Q114953,12,P585,point in time,7,"time of event, on, event date, during, by date, at time, as of, when, time, year, date",http://wikiba.se/ontology#Time,,,{}
Q193078,118,poisoning,Q114953,12,P828,has cause,5,"underlying cause, ultimate causes, ultimate cause, result of, outcome of, originated due to, initial cause, has underlying cause, has reason, has causes, had underlying cause, had reason, had cause, effect of, due to, caused by, because, cause, implied by, why, reason",http://wikiba.se/ontology#WikibaseItem,,,"{'Q11173': 2, 'Q81977867': 1, 'Q59199015': 1, 'Q193430': 1, 'Q17325781': 1, 'Q108936942': 1, 'Q56256173': 1}"
Q193078,118,poisoning,Q114953,12,P2239,first aid measures,5,first aid response,http://wikiba.se/ontology#WikibaseItem,['first aid'],['Q133981'],"{'Q35456': 1, 'Q179661': 1}"
Q193078,118,poisoning,Q114953,12,P1120,number of deaths,4,"qty fatalities, qty deaths, number of fatalities, fatalities, deaths, death toll, death number, death count, dead",http://wikiba.se/ontology#Quantity,"['occurrence', 'fictional event']","['Q1190554', 'Q14136353']",{}
Q193078,118,poisoning,Q114953,12,P533,target,3,"target of attack, military target, attack target",http://wikiba.se/ontology#WikibaseItem,"['military operation plan', 'military operation', 'attack', 'offense', 'massacre', 'failed attack']","['Q149377', 'Q645883', 'Q1174599', 'Q1456832', 'Q3199915', 'Q28945444']",{'Q5': 3}
Q193078,118,poisoning,Q114953,12,P1339,number of injured,3,"wounded, number injured, non-fatal injuries, injury toll, injuries, injured",http://wikiba.se/ontology#Quantity,"['occurrence', 'fictional event']","['Q1190554', 'Q14136353']",{}
Q193078,118,poisoning,Q114953,12,P710,participant,2,"suspect, player, participants, event participant, competitor, between, belligerents, attendee, party, accused, agent",http://wikiba.se/ontology#WikibaseItem,"['human', 'cooperative', 'system', 'coalition', 'project', 'interview', 'agreement', 'tournament', 'occurrence', 'process', 'sports competition', 'fictional event', 'group of humans', 'mythical event', 'race result', 'creative work season']","['Q5', 'Q4539', 'Q58778', 'Q124964', 'Q170584', 'Q178651', 'Q321839', 'Q500834', 'Q1190554', 'Q3249551', 'Q13406554', 'Q14136353', 'Q16334295', 'Q24336466', 'Q54933017', 'Q70990126']",{'Q5': 2}
Q1174599,3631,terrorist attack,Q2223653,558,P17,country,430,"sovereign state, land, state, host country",http://wikiba.se/ontology#WikibaseItem,"['country', 'state', 'federation', 'empire', 'provisional government', 'polis', 'dependent territory', 'confederation', 'Roman province', 'ancient Chinese state', 'fictional country', 'client state', 'realm', 'subject of international law', 'occupied territory', 'historical country', 'sovereign state', 'fictional location', 'disputed territory', 'mythical place', 'state in the Holy Roman Empire', 'ancient civilization']","['Q6256', 'Q7275', 'Q43702', 'Q48349', 'Q59281', 'Q148837', 'Q161243', 'Q170156', 'Q182547', 'Q836688', 'Q1145276', 'Q1151405', 'Q1250464', 'Q1896989', 'Q2577883', 'Q3024240', 'Q3624078', 'Q3895768', 'Q15239622', 'Q24334893', 'Q26830017', 'Q28171280']","{'Q6256': 353, 'Q112099': 31, 'Q3624078': 410, 'Q512187': 47, 'Q1489259': 19, 'Q1520223': 40, 'Q5255892': 31, 'Q63791824': 23, 'Q7270': 93, 'Q7275': 5, 'Q123480': 31, 'Q4209223': 11, 'Q339834': 13, 'Q619610': 21, 'Q859563': 19, 'Q1323642': 21, 'Q51576574': 148, 'Q202686': 13, 'Q1250464': 9, 'Q20181813': 12, 'Q179164': 5, 'Q43702': 10, 'Q223832': 3, 'Q6266': 6, 'Q672729': 7, 'Q66724388': 2, 'Q41614': 10, 'Q35657': 1, 'Q82794': 3, 'Q1200957': 3, 'Q1620908': 3, 'Q2577883': 3, 'Q3502482': 3, 'Q5284036': 3, 'Q59281': 1, 'Q327333': 1, 'Q11396118': 5, 'Q15634554': 7, 'Q183366': 2, 'Q118365': 2, 'Q465613': 10, 'Q842112': 2, 'Q849866': 2, 'Q49892': 6, 'Q13107770': 8, 'Q417175': 1, 'Q3024240': 7, 'Q15304003': 1, 'Q426759': 2, 'Q48349': 1, 'Q611214': 1, 'Q133156': 2, 'Q208164': 1, 'Q5589178': 1, 'Q1048835': 1, 'Q19953632': 1}"
Q180684,56518,terrorist attack,Q2223653,558,P17,country,430,"sovereign state, land, state, host country",http://wikiba.se/ontology#WikibaseItem,"['country', 'state', 'federation', 'empire', 'provisional government', 'polis', 'dependent territory', 'confederation', 'Roman province', 'ancient Chinese state', 'fictional country', 'client state', 'realm', 'subject of international law', 'occupied territory', 'historical country', 'sovereign state', 'fictional location', 'disputed territory', 'mythical place', 'state in the Holy Roman Empire', 'ancient civilization']","['Q6256', 'Q7275', 'Q43702', 'Q48349', 'Q59281', 'Q148837', 'Q161243', 'Q170156', 'Q182547', 'Q836688', 'Q1145276', 'Q1151405', 'Q1250464', 'Q1896989', 'Q2577883', 'Q3024240', 'Q3624078', 'Q3895768', 'Q15239622', 'Q24334893', 'Q26830017', 'Q28171280']","{'Q6256': 353, 'Q112099': 31, 'Q3624078': 410, 'Q512187': 47, 'Q1489259': 19, 'Q1520223': 40, 'Q5255892': 31, 'Q63791824': 23, 'Q7270': 93, 'Q7275': 5, 'Q123480': 31, 'Q4209223': 11, 'Q339834': 13, 'Q619610': 21, 'Q859563': 19, 'Q1323642': 21, 'Q51576574': 148, 'Q202686': 13, 'Q1250464': 9, 'Q20181813': 12, 'Q179164': 5, 'Q43702': 10, 'Q223832': 3, 'Q6266': 6, 'Q672729': 7, 'Q66724388': 2, 'Q41614': 10, 'Q35657': 1, 'Q82794': 3, 'Q1200957': 3, 'Q1620908': 3, 'Q2577883': 3, 'Q3502482': 3, 'Q5284036': 3, 'Q59281': 1, 'Q327333': 1, 'Q11396118': 5, 'Q15634554': 7, 'Q183366': 2, 'Q118365': 2, 'Q465613': 10, 'Q842112': 2, 'Q849866': 2, 'Q49892': 6, 'Q13107770': 8, 'Q417175': 1, 'Q3024240': 7, 'Q15304003': 1, 'Q426759': 2, 'Q48349': 1, 'Q611214': 1, 'Q133156': 2, 'Q208164': 1, 'Q5589178': 1, 'Q1048835': 1, 'Q19953632': 1}"
Q1174599,3631,terrorist attack,Q2223653,558,P1120,number of deaths,391,"qty fatalities, qty deaths, number of fatalities, fatalities, deaths, death toll, death number, death count, dead",http://wikiba.se/ontology#Quantity,"['occurrence', 'fictional event']","['Q1190554', 'Q14136353']",{}
Q180684,56518,terrorist attack,Q2223653,558,P1120,number of deaths,391,"qty fatalities, qty deaths, number of fatalities, fatalities, deaths, death toll, death number, death count, dead",http://wikiba.se/ontology#Quantity,"['occurrence', 'fictional event']","['Q1190554', 'Q14136353']",{}
Q1174599,3631,terrorist attack,Q2223653,558,P1339,number of injured,316,"wounded, number injured, non-fatal injuries, injury toll, injuries, injured",http://wikiba.se/ontology#Quantity,"['occurrence', 'fictional event']","['Q1190554', 'Q14136353']",{}
Q180684,56518,terrorist attack,Q2223653,558,P1339,number of injured,316,"wounded, number injured, non-fatal injuries, injury toll, injuries, injured",http://wikiba.se/ontology#Quantity,"['occurrence', 'fictional event']","['Q1190554', 'Q14136353']",{}
Q1174599,3631,terrorist attack,Q2223653,558,P533,target,260,"target of attack, military target, attack target",http://wikiba.se/ontology#WikibaseItem,"['military operation plan', 'military operation', 'attack', 'offense', 'massacre', 'failed attack']","['Q149377', 'Q645883', 'Q1174599', 'Q1456832', 'Q3199915', 'Q28945444']","{'Q6266': 2, 'Q2472587': 2, 'Q11197007': 2, 'Q5': 127, 'Q1197685': 1, 'Q2558684': 1, 'Q4392985': 2, 'Q1110794': 2, 'Q204310': 5, 'Q28640': 5, 'Q11488158': 1, 'Q12737077': 13, 'Q891723': 1, 'Q4830453': 3, 'Q6881511': 2, 'Q303618': 1, 'Q16631188': 1, 'Q7410456': 1, 'Q494829': 1, 'Q7444961': 1, 'Q43229': 3, 'Q56019': 3, 'Q4164871': 3, 'Q6857706': 3, 'Q474': 1, 'Q29918287': 2, 'Q570116': 3, 'Q1021645': 1, 'Q7540126': 1, 'Q16831714': 1, 'Q1497364': 1, 'Q27686': 3, 'Q481289': 1, 'Q1802963': 2, 'Q52177058': 1, 'Q16560': 1, 'Q33506': 1, 'Q207694': 2, 'Q3284499': 1, 'Q56887437': 1, 'Q2570643': 1, 'Q110315658': 1, 'Q11707': 1, 'Q212198': 1, 'Q5503': 2, 'Q55485': 1, 'Q11606300': 1, 'Q22808404': 1, 'Q32815': 5, 'Q162875': 2, 'Q697295': 1, 'Q18210787': 1, 'Q2493450': 2, 'Q49376': 1, 'Q6566418': 1, 'Q35535': 5, 'Q1054782': 1, 'Q8148': 1, 'Q340169': 1, 'Q7188': 1, 'Q35798': 1, 'Q41176': 2, 'Q1007870': 1, 'Q16917': 1, 'Q3917681': 4, 'Q6256': 1, 'Q3624078': 1, 'Q51576574': 1, 'Q644371': 2, 'Q1248784': 1, 'Q94993988': 2, 'Q33829': 1, 'Q231002': 1, 'Q3157225': 1, 'Q294414': 1, 'Q7278': 2, 'Q17431399': 1, 'Q811979': 1, 'Q19934856': 1, 'Q15848826': 1, 'Q4': 1, 'Q11433649': 1, 'Q1192063': 1, 'Q61883': 1, 'Q11032': 1, 'Q867242': 1, 'Q19046104': 1, 'Q153562': 1, 'Q16481820': 1, 'Q55488': 1, 'Q17888': 1, 'Q930933': 1, 'Q33104069': 1, 'Q41710': 1, 'Q917182': 1, 'Q1935049': 1, 'Q37726': 2, 'Q561068': 1, 'Q7892363': 1, 'Q47913': 1, 'Q34627': 1, 'Q3907564': 1, 'Q772547': 1, 'Q732717': 1, 'Q11691': 1, 'Q20427295': 1, 'Q2977': 1, 'Q1530022': 1}"
Q180684,56518,terrorist attack,Q2223653,558,P533,target,260,"target of attack, military target, attack target",http://wikiba.se/ontology#WikibaseItem,"['military operation plan', 'military operation', 'attack', 'offense', 'massacre', 'failed attack']","['Q149377', 'Q645883', 'Q1174599', 'Q1456832', 'Q3199915', 'Q28945444']","{'Q6266': 2, 'Q2472587': 2, 'Q11197007': 2, 'Q5': 127, 'Q1197685': 1, 'Q2558684': 1, 'Q4392985': 2, 'Q1110794': 2, 'Q204310': 5, 'Q28640': 5, 'Q11488158': 1, 'Q12737077': 13, 'Q891723': 1, 'Q4830453': 3, 'Q6881511': 2, 'Q303618': 1, 'Q16631188': 1, 'Q7410456': 1, 'Q494829': 1, 'Q7444961': 1, 'Q43229': 3, 'Q56019': 3, 'Q4164871': 3, 'Q6857706': 3, 'Q474': 1, 'Q29918287': 2, 'Q570116': 3, 'Q1021645': 1, 'Q7540126': 1, 'Q16831714': 1, 'Q1497364': 1, 'Q27686': 3, 'Q481289': 1, 'Q1802963': 2, 'Q52177058': 1, 'Q16560': 1, 'Q33506': 1, 'Q207694': 2, 'Q3284499': 1, 'Q56887437': 1, 'Q2570643': 1, 'Q110315658': 1, 'Q11707': 1, 'Q212198': 1, 'Q5503': 2, 'Q55485': 1, 'Q11606300': 1, 'Q22808404': 1, 'Q32815': 5, 'Q162875': 2, 'Q697295': 1, 'Q18210787': 1, 'Q2493450': 2, 'Q49376': 1, 'Q6566418': 1, 'Q35535': 5, 'Q1054782': 1, 'Q8148': 1, 'Q340169': 1, 'Q7188': 1, 'Q35798': 1, 'Q41176': 2, 'Q1007870': 1, 'Q16917': 1, 'Q3917681': 4, 'Q6256': 1, 'Q3624078': 1, 'Q51576574': 1, 'Q644371': 2, 'Q1248784': 1, 'Q94993988': 2, 'Q33829': 1, 'Q231002': 1, 'Q3157225': 1, 'Q294414': 1, 'Q7278': 2, 'Q17431399': 1, 'Q811979': 1, 'Q19934856': 1, 'Q15848826': 1, 'Q4': 1, 'Q11433649': 1, 'Q1192063': 1, 'Q61883': 1, 'Q11032': 1, 'Q867242': 1, 'Q19046104': 1, 'Q153562': 1, 'Q16481820': 1, 'Q55488': 1, 'Q17888': 1, 'Q930933': 1, 'Q33104069': 1, 'Q41710': 1, 'Q917182': 1, 'Q1935049': 1, 'Q37726': 2, 'Q561068': 1, 'Q7892363': 1, 'Q47913': 1, 'Q34627': 1, 'Q3907564': 1, 'Q772547': 1, 'Q732717': 1, 'Q11691': 1, 'Q20427295': 1, 'Q2977': 1, 'Q1530022': 1}"
Q1174599,3631,terrorist attack,Q2223653,558,P710,participant,181,"suspect, player, participants, event participant, competitor, between, belligerents, attendee, party, accused, agent",http://wikiba.se/ontology#WikibaseItem,"['human', 'cooperative', 'system', 'coalition', 'project', 'interview', 'agreement', 'tournament', 'occurrence', 'process', 'sports competition', 'fictional event', 'group of humans', 'mythical event', 'race result', 'creative work season']","['Q5', 'Q4539', 'Q58778', 'Q124964', 'Q170584', 'Q178651', 'Q321839', 'Q500834', 'Q1190554', 'Q3249551', 'Q13406554', 'Q14136353', 'Q16334295', 'Q24336466', 'Q54933017', 'Q70990126']","{'Q138796': 4, 'Q1530022': 11, 'Q7210356': 7, 'Q15627509': 9, 'Q17127659': 91, 'Q7278': 14, 'Q207320': 10, 'Q13406463': 1, 'Q17149090': 25, 'Q20642011': 4, 'Q131401': 11, 'Q7448178': 11, 'Q21512251': 11, 'Q1393724': 1, 'Q732717': 1, 'Q5': 50, 'Q477544': 1, 'Q879146': 1, 'Q772547': 1, 'Q33829': 1, 'Q41710': 1, 'Q252141': 4, 'Q43229': 1, 'Q2738074': 5, 'Q1323212': 1, 'Q2438715': 15, 'Q233591': 1, 'Q43791339': 1, 'Q35535': 1, 'Q204310': 1, 'Q1673189': 1, 'Q37726': 1}"
