ACE,transitive_cnt,type_label,type,#type_instances,property,property_label,count,also_known,data_type,constraint_label_list,constraint_class_list,tail_cnt
Q537151,22,amnesty,Q185943,6,P17,country,3,"sovereign state, land, state, host country",http://wikiba.se/ontology#WikibaseItem,"['country', 'state', 'federation', 'empire', 'provisional government', 'polis', 'dependent territory', 'confederation', 'Roman province', 'ancient Chinese state', 'fictional country', 'client state', 'realm', 'subject of international law', 'occupied territory', 'historical country', 'sovereign state', 'fictional location', 'disputed territory', 'mythical place', 'state in the Holy Roman Empire', 'ancient civilization']","['Q6256', 'Q7275', 'Q43702', 'Q48349', 'Q59281', 'Q148837', 'Q161243', 'Q170156', 'Q182547', 'Q836688', 'Q1145276', 'Q1151405', 'Q1250464', 'Q1896989', 'Q2577883', 'Q3024240', 'Q3624078', 'Q3895768', 'Q15239622', 'Q24334893', 'Q26830017', 'Q28171280']","{'Q6256': 3, 'Q3624078': 3, 'Q7270': 2, 'Q123480': 2}"
Q3237993,8,amnesty,Q185943,6,P585,point in time,2,"time of event, on, event date, during, by date, at time, as of, when, time, year, date",http://wikiba.se/ontology#Time,,,{}
Q537151,22,amnesty,Q185943,6,P585,point in time,2,"time of event, on, event date, during, by date, at time, as of, when, time, year, date",http://wikiba.se/ontology#Time,,,{}
Q3237993,8,amnesty,Q185943,6,P138,named after,1,"namesake, named in honor of, named for, name after, linked with, eponym, toponym, etymology",http://wikiba.se/ontology#WikibaseItem,,,{'Q5': 1}
Q537151,22,amnesty,Q185943,6,P138,named after,1,"namesake, named in honor of, named for, name after, linked with, eponym, toponym, etymology",http://wikiba.se/ontology#WikibaseItem,,,{'Q5': 1}
Q3237993,8,amnesty law,Q4354526,2,P407,language of work or name,1,"used language, named in language, language of work, language of website, language of URL, language of the reference, language of the name, language of spoken text, language of name, broadcasting language, available in, audio language, language",http://wikiba.se/ontology#WikibaseItem,['languoid'],['Q17376908'],"{'Q33742': 1, 'Q34770': 1, 'Q1288568': 1}"
Q537151,22,amnesty law,Q4354526,2,P407,language of work or name,1,"used language, named in language, language of work, language of website, language of URL, language of the reference, language of the name, language of spoken text, language of name, broadcasting language, available in, audio language, language",http://wikiba.se/ontology#WikibaseItem,['languoid'],['Q17376908'],"{'Q33742': 1, 'Q34770': 1, 'Q1288568': 1}"
Q3237993,8,amnesty law,Q4354526,2,P577,publication date,1,"year of publication, was published in, was published during, time of publication, released, release date, publication time, pubdate, first publication, date released, date published, date of release, date of first publication, be published in, be published during, airdate, air date, first released, first published, date of publication, launched, launch date, released in, initial release, published, dop, publication",http://wikiba.se/ontology#Time,"['Theory', 'work', 'rule', 'product', 'version, edition, or translation', 'fictitious work', 'group of works']","['Q17737', 'Q386724', 'Q1151067', 'Q2424752', 'Q3331189', 'Q15306849', 'Q17489659']",{}
Q537151,22,amnesty law,Q4354526,2,P577,publication date,1,"year of publication, was published in, was published during, time of publication, released, release date, publication time, pubdate, first publication, date released, date published, date of release, date of first publication, be published in, be published during, airdate, air date, first released, first published, date of publication, launched, launch date, released in, initial release, published, dop, publication",http://wikiba.se/ontology#Time,"['Theory', 'work', 'rule', 'product', 'version, edition, or translation', 'fictitious work', 'group of works']","['Q17737', 'Q386724', 'Q1151067', 'Q2424752', 'Q3331189', 'Q15306849', 'Q17489659']",{}
Q3237993,8,amnesty law,Q4354526,2,P1001,applies to jurisdiction,1,"applies to region, applies to geographic place, applies to geographic area, applies to area, valid in jurisdiction, of jurisdiction, linked to jurisdiction, country of jurisdiction, belongs to jurisdiction, applies to territorial jurisdiction, applied to jurisdiction, jurisdiction, applies to place",http://wikiba.se/ontology#WikibaseItem,"['university', 'government', 'political party', 'public administration', 'Christian Church', 'port', 'administrative territorial entity', 'geographic region', 'political territorial entity', 'district of New Zealand', 'First Nation band', 'sovereign state', 'fictional location', 'jurisdiction', 'legal proceeding', 'religious administrative territorial entity', 'geographic entity', 'country in a fiction work']","['Q3918', 'Q7188', 'Q7278', 'Q31728', 'Q34651', 'Q44782', 'Q56061', 'Q82794', 'Q1048835', 'Q2881272', 'Q2882257', 'Q3624078', 'Q3895768', 'Q5982983', 'Q6087062', 'Q20926517', 'Q27096213', 'Q57662985']",{'Q3624078': 1}
Q537151,22,amnesty law,Q4354526,2,P1001,applies to jurisdiction,1,"applies to region, applies to geographic place, applies to geographic area, applies to area, valid in jurisdiction, of jurisdiction, linked to jurisdiction, country of jurisdiction, belongs to jurisdiction, applies to territorial jurisdiction, applied to jurisdiction, jurisdiction, applies to place",http://wikiba.se/ontology#WikibaseItem,"['university', 'government', 'political party', 'public administration', 'Christian Church', 'port', 'administrative territorial entity', 'geographic region', 'political territorial entity', 'district of New Zealand', 'First Nation band', 'sovereign state', 'fictional location', 'jurisdiction', 'legal proceeding', 'religious administrative territorial entity', 'geographic entity', 'country in a fiction work']","['Q3918', 'Q7188', 'Q7278', 'Q31728', 'Q34651', 'Q44782', 'Q56061', 'Q82794', 'Q1048835', 'Q2881272', 'Q2882257', 'Q3624078', 'Q3895768', 'Q5982983', 'Q6087062', 'Q20926517', 'Q27096213', 'Q57662985']",{'Q3624078': 1}
Q3237993,8,amnesty law,Q4354526,2,P7588,effective date,1,"enforcement date, date of coming into force, date of commencement",http://wikiba.se/ontology#Time,['Legislation'],['Q820655'],{}
Q537151,22,amnesty law,Q4354526,2,P7588,effective date,1,"enforcement date, date of coming into force, date of commencement",http://wikiba.se/ontology#Time,['Legislation'],['Q820655'],{}
Q3237993,8,amnesty law,Q4354526,2,P17,country,1,"sovereign state, land, state, host country",http://wikiba.se/ontology#WikibaseItem,"['country', 'state', 'federation', 'empire', 'provisional government', 'polis', 'dependent territory', 'confederation', 'Roman province', 'ancient Chinese state', 'fictional country', 'client state', 'realm', 'subject of international law', 'occupied territory', 'historical country', 'sovereign state', 'fictional location', 'disputed territory', 'mythical place', 'state in the Holy Roman Empire', 'ancient civilization']","['Q6256', 'Q7275', 'Q43702', 'Q48349', 'Q59281', 'Q148837', 'Q161243', 'Q170156', 'Q182547', 'Q836688', 'Q1145276', 'Q1151405', 'Q1250464', 'Q1896989', 'Q2577883', 'Q3024240', 'Q3624078', 'Q3895768', 'Q15239622', 'Q24334893', 'Q26830017', 'Q28171280']","{'Q6256': 1, 'Q112099': 1, 'Q202686': 1, 'Q1250464': 1, 'Q3624078': 1, 'Q20181813': 1}"
Q537151,22,amnesty law,Q4354526,2,P17,country,1,"sovereign state, land, state, host country",http://wikiba.se/ontology#WikibaseItem,"['country', 'state', 'federation', 'empire', 'provisional government', 'polis', 'dependent territory', 'confederation', 'Roman province', 'ancient Chinese state', 'fictional country', 'client state', 'realm', 'subject of international law', 'occupied territory', 'historical country', 'sovereign state', 'fictional location', 'disputed territory', 'mythical place', 'state in the Holy Roman Empire', 'ancient civilization']","['Q6256', 'Q7275', 'Q43702', 'Q48349', 'Q59281', 'Q148837', 'Q161243', 'Q170156', 'Q182547', 'Q836688', 'Q1145276', 'Q1151405', 'Q1250464', 'Q1896989', 'Q2577883', 'Q3024240', 'Q3624078', 'Q3895768', 'Q15239622', 'Q24334893', 'Q26830017', 'Q28171280']","{'Q6256': 1, 'Q112099': 1, 'Q202686': 1, 'Q1250464': 1, 'Q3624078': 1, 'Q20181813': 1}"
Q3237993,8,amnesty law,Q4354526,2,P138,named after,1,"namesake, named in honor of, named for, name after, linked with, eponym, toponym, etymology",http://wikiba.se/ontology#WikibaseItem,,,{'Q5': 1}
Q537151,22,amnesty law,Q4354526,2,P138,named after,1,"namesake, named in honor of, named for, name after, linked with, eponym, toponym, etymology",http://wikiba.se/ontology#WikibaseItem,,,{'Q5': 1}
Q3237993,8,amnesty law,Q4354526,2,P1269,facet of,1,"topic of, subtopic of, subject in, subitem of, section in, main topic, aspect of",http://wikiba.se/ontology#WikibaseItem,,,{'Q105774620': 1}
