a,b
http://www.wikidata.org/entity/P6819,http://www.wikidata.org/entity/P170
http://www.wikidata.org/entity/P7514,http://www.wikidata.org/entity/P170
http://www.wikidata.org/entity/P9260,http://www.wikidata.org/entity/P170
http://www.wikidata.org/entity/P10661,http://www.wikidata.org/entity/P170
http://www.wikidata.org/entity/P161,http://www.wikidata.org/entity/P175
http://www.wikidata.org/entity/P193,http://www.wikidata.org/entity/P176
http://www.wikidata.org/entity/P943,http://www.wikidata.org/entity/P178
http://www.wikidata.org/entity/P1257,http://www.wikidata.org/entity/P180
http://www.wikidata.org/entity/P4675,http://www.wikidata.org/entity/P180
http://www.wikidata.org/entity/P6243,http://www.wikidata.org/entity/P180
http://www.wikidata.org/entity/P65,http://www.wikidata.org/entity/P189
http://www.wikidata.org/entity/P4661,http://www.wikidata.org/entity/P206
http://www.wikidata.org/entity/P496,http://www.wikidata.org/entity/P213
http://www.wikidata.org/entity/P2511,http://www.wikidata.org/entity/P217
http://www.wikidata.org/entity/P15,http://www.wikidata.org/entity/P242
http://www.wikidata.org/entity/P1621,http://www.wikidata.org/entity/P242
http://www.wikidata.org/entity/P143,http://www.wikidata.org/entity/P248
http://www.wikidata.org/entity/P19,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P20,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P115,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P119,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P131,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P206,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P551,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P669,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P706,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P927,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P1158,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P1427,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P1444,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P2541,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P2825,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P2974,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P3842,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P6885,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P7153,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P8138,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P8764,http://www.wikidata.org/entity/P276
http://www.wikidata.org/entity/P171,http://www.wikidata.org/entity/P279
http://www.wikidata.org/entity/P1647,http://www.wikidata.org/entity/P279
http://www.wikidata.org/entity/P10019,http://www.wikidata.org/entity/P279
http://www.wikidata.org/entity/Q111724794,http://www.wikidata.org/entity/P279
http://www.wikidata.org/entity/P84,http://www.wikidata.org/entity/P287
http://www.wikidata.org/entity/P722,http://www.wikidata.org/entity/P296
http://www.wikidata.org/entity/P954,http://www.wikidata.org/entity/P296
http://www.wikidata.org/entity/P1377,http://www.wikidata.org/entity/P296
http://www.wikidata.org/entity/P1378,http://www.wikidata.org/entity/P296
http://www.wikidata.org/entity/P2815,http://www.wikidata.org/entity/P296
http://www.wikidata.org/entity/P3104,http://www.wikidata.org/entity/P296
http://www.wikidata.org/entity/P5696,http://www.wikidata.org/entity/P296
http://www.wikidata.org/entity/P6785,http://www.wikidata.org/entity/P296
http://www.wikidata.org/entity/P8181,http://www.wikidata.org/entity/P296
http://www.wikidata.org/entity/P8448,http://www.wikidata.org/entity/P296
http://www.wikidata.org/entity/P8671,http://www.wikidata.org/entity/P296
http://www.wikidata.org/entity/P4379,http://www.wikidata.org/entity/P355
http://www.wikidata.org/entity/P2704,http://www.wikidata.org/entity/P356
http://www.wikidata.org/entity/P16,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P59,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P81,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P131,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P179,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P195,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P196,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P241,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P452,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P669,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P703,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P706,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P749,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P927,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P929,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P972,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P1049,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P1080,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P1344,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P1416,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P1433,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P2505,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P2596,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P2922,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P3450,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P3780,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P3842,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P4908,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P5353,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P5522,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P6885,http://www.wikidata.org/entity/P361
http://www.wikidata.org/entity/P404,http://www.wikidata.org/entity/P366
http://www.wikidata.org/entity/P2159,http://www.wikidata.org/entity/P366
http://www.wikidata.org/entity/P2175,http://www.wikidata.org/entity/P366
http://www.wikidata.org/entity/P2414,http://www.wikidata.org/entity/P366
http://www.wikidata.org/entity/P364,http://www.wikidata.org/entity/P407
http://www.wikidata.org/entity/P1731,http://www.wikidata.org/entity/P412
http://www.wikidata.org/entity/P9753,http://www.wikidata.org/entity/P424
http://www.wikidata.org/entity/P2152,http://www.wikidata.org/entity/P461
http://www.wikidata.org/entity/P4545,http://www.wikidata.org/entity/P461
http://www.wikidata.org/entity/P5974,http://www.wikidata.org/entity/P461
http://www.wikidata.org/entity/P8865,http://www.wikidata.org/entity/P461
http://www.wikidata.org/entity/P534,http://www.wikidata.org/entity/P462
http://www.wikidata.org/entity/P1340,http://www.wikidata.org/entity/P462
http://www.wikidata.org/entity/P1884,http://www.wikidata.org/entity/P462
http://www.wikidata.org/entity/P2827,http://www.wikidata.org/entity/P462
http://www.wikidata.org/entity/P53,http://www.wikidata.org/entity/P463
http://www.wikidata.org/entity/P54,http://www.wikidata.org/entity/P463
http://www.wikidata.org/entity/P102,http://www.wikidata.org/entity/P463
http://www.wikidata.org/entity/P114,http://www.wikidata.org/entity/P463
http://www.wikidata.org/entity/P550,http://www.wikidata.org/entity/P463
http://www.wikidata.org/entity/P611,http://www.wikidata.org/entity/P463
http://www.wikidata.org/entity/P4100,http://www.wikidata.org/entity/P463
http://www.wikidata.org/entity/P5096,http://www.wikidata.org/entity/P463
http://www.wikidata.org/entity/P5832,http://www.wikidata.org/entity/P463
http://www.wikidata.org/entity/P7779,http://www.wikidata.org/entity/P463
http://www.wikidata.org/entity/P6,http://www.wikidata.org/entity/P488
http://www.wikidata.org/entity/P35,http://www.wikidata.org/entity/P488
http://www.wikidata.org/entity/P2183,http://www.wikidata.org/entity/P503
http://www.wikidata.org/entity/P3005,http://www.wikidata.org/entity/P518
http://www.wikidata.org/entity/P150,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P180,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P355,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P516,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P610,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P658,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P880,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P1148,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P1221,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P1383,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P1435,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P2560,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P2670,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P2989,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P3103,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P3161,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P3781,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P4543,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P9793,http://www.wikidata.org/entity/P527
http://www.wikidata.org/entity/P296,http://www.wikidata.org/entity/P528
http://www.wikidata.org/entity/P263,http://www.wikidata.org/entity/P551
http://www.wikidata.org/entity/P2632,http://www.wikidata.org/entity/P551
http://www.wikidata.org/entity/P423,http://www.wikidata.org/entity/P552
http://www.wikidata.org/entity/P3579,http://www.wikidata.org/entity/P553
http://www.wikidata.org/entity/P10152,http://www.wikidata.org/entity/P553
http://www.wikidata.org/entity/P2002,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P2003,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P2013,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P2037,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P2397,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P2847,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P2893,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P2942,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P2984,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P3040,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P3185,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P3207,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P3258,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P3267,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P3789,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P3836,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P3899,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P3943,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P4003,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P4013,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P4015,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P4016,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P4017,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P4033,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P4174,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P4175,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P4226,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P4264,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P4265,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P4411,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P5434,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P5435,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P5797,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P6459,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P6552,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P6837,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P7085,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P7171,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P7590,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P7737,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P8754,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P8827,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P8842,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P8904,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P8919,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P8976,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P9101,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P9269,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P9271,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P9812,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P10212,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/Q110329436,http://www.wikidata.org/entity/P554
http://www.wikidata.org/entity/P654,http://www.wikidata.org/entity/P560
http://www.wikidata.org/entity/P569,http://www.wikidata.org/entity/P571
http://www.wikidata.org/entity/P580,http://www.wikidata.org/entity/P571
http://www.wikidata.org/entity/P1619,http://www.wikidata.org/entity/P571
http://www.wikidata.org/entity/P9448,http://www.wikidata.org/entity/P571
http://www.wikidata.org/entity/P10135,http://www.wikidata.org/entity/P571
http://www.wikidata.org/entity/P570,http://www.wikidata.org/entity/P576
http://www.wikidata.org/entity/P8556,http://www.wikidata.org/entity/P576
http://www.wikidata.org/entity/P9667,http://www.wikidata.org/entity/P576
http://www.wikidata.org/entity/P1191,http://www.wikidata.org/entity/P577
http://www.wikidata.org/entity/P523,http://www.wikidata.org/entity/P580
http://www.wikidata.org/entity/P729,http://www.wikidata.org/entity/P580
http://www.wikidata.org/entity/P1619,http://www.wikidata.org/entity/P580
