class	superclass
Q133492	Q1298356
Q133492	Q1437361
Q133492	Q110169000
Q133492	Q838948
Q133492	Q1318295
Q133492	Q47461344
Q133492	Q7184903
Q133492	Q184754
Q133492	Q107435521
Q133492	Q28877
Q133492	Q17537576
Q133492	Q18593264
Q133492	Q9332
Q133492	Q2990593
Q133492	Q22294683
Q133492	Q5369651
Q133492	Q2085518
Q133492	Q52948
Q133492	Q23009552
Q133492	Q386724
Q133492	Q1554231
Q133492	Q21146257
Q133492	Q1914636
Q133492	Q2897903
Q133492	Q4026292
Q133492	Q20937557
Q133492	Q15401930
Q133492	Q31464082
Q133492	Q103940464
Q133492	Q1292119
Q133492	Q6671777
Q133492	Q36993249
Q133492	Q2996394
Q133492	Q3523102
Q133492	Q488383
Q133492	Q7048977
Q133492	Q16889133
Q133492	Q22269697
Q133492	Q23009675
Q133492	Q286583
Q133492	Q8205328
Q133492	Q35120
Q133492	Q1207505
Q133492	Q1190554
Q133492	Q58415929
Q133492	Q3249551
Q133492	Q13878858
Q133492	Q64732777
Q133492	Q99527517
Q133492	Q1150771
Q133492	Q16686448
Q133492	Q16887380
Q133492	Q17988854
Q133492	Q23958946
Q133492	Q2995644
Q133492	Q26907166
Q133492	Q937228
Q133492	Q1150070
Q133492	Q67518978
Q133492	Q223557
Q133492	Q28813620
Q133492	Q483247
Q133492	Q4406616
Q133492	Q35459920
Q133492	Q188572
Q133492	Q30241068
Q133492	Q42848
Q133492	Q2684591
Q133492	Q108163
Q133492	Q246672
Q133492	Q474328
Q133492	Q41796
Q133492	Q1786828
Q133492	Q9380010
Q133492	Q15916540
Q133492	Q5371079
Q133492	Q183046
Q133492	Q20817253
Q133492	Q16877783
Q133492	Q29651519
Q3075355	Q3075355
Q3075355	Q1190554
Q3075355	Q11398090
Q3075355	Q26907166
Q3075355	Q1914636
Q3075355	Q104637332
Q3075355	Q20937557
Q3075355	Q58415929
Q3075355	Q67518233
Q3075355	Q16887380
Q3075355	Q35120
Q3075355	Q3249551
Q3075355	Q67518978
Q3075355	Q1150070
Q3075355	Q28813620
Q3075355	Q99527517
Q5282797	Q5282797
Q5282797	Q1190554
Q5282797	Q18603731
Q5282797	Q26907166
Q5282797	Q3249551
Q5282797	Q1150070
Q5282797	Q20937557
Q5282797	Q67518978
Q5282797	Q58415929
Q5282797	Q16887380
Q5282797	Q35120
Q5282797	Q28813620
Q5282797	Q99527517
Q906512	Q906512
Q906512	Q2620513
Q906512	Q2235325
Q906512	Q3839081
Q906512	Q11549517
Q906512	Q11822042
Q906512	Q813912
Q906512	Q1132455
Q906512	Q1190554
Q906512	Q1920219
Q906512	Q1931388
Q906512	Q3505845
Q906512	Q5422048
Q906512	Q86923152
Q906512	Q26907166
Q906512	Q621184
Q906512	Q2574811
Q906512	Q171558
Q906512	Q43339602
Q906512	Q65091757
Q906512	Q18669875
Q906512	Q31464082
Q906512	Q483247
Q906512	Q937228
Q906512	Q104493
Q906512	Q58415929
Q906512	Q18603648
Q906512	Q21170479
Q906512	Q188572
Q906512	Q35120
Q906512	Q1207505
Q906512	Q488383
Q906512	Q42848
Q906512	Q2684591
Q906512	Q11028
Q906512	Q108163
Q906512	Q7184903
Q906512	Q246672
Q906512	Q474328
Q906512	Q41796
Q906512	Q7048977
Q906512	Q1786828
Q906512	Q9380010
Q906512	Q15916540
Q906512	Q5371079
Q906512	Q628523
Q906512	Q183046
Q906512	Q20817253
Q906512	Q16877783
Q906512	Q16889133
Q906512	Q29651519
Q906512	Q99527517
