class,subclass
Q1174599,Q715695
Q1174599,Q838364
Q1174599,Q841418
Q1174599,Q4688003
Q1174599,Q4788547
Q1174599,Q20893947
Q1174599,Q42915628
Q1174599,Q4976857
Q1174599,Q99936926
Q1174599,Q17329819
Q1174599,Q19606784
Q1174599,Q869370
Q1174599,Q7622661
Q1174599,Q305918
Q1243001,Q1243001
Q133492,Q133492
Q133492,Q9158
Q133492,Q221409
Q133492,Q371008
Q133492,Q646754
Q133492,Q651270
Q133492,Q905972
Q133492,Q915196
Q133492,Q1183753
Q133492,Q1522225
Q133492,Q1963679
Q133492,Q2116256
Q133492,Q2731728
Q133492,Q5372544
Q133492,Q12306381
Q133492,Q13896240
Q133492,Q65085460
Q133492,Q94579027
Q133492,Q100350675
Q133492,Q215495
Q133492,Q110716513
Q133492,Q40693969
Q133492,Q101048164
Q133492,Q7573033
Q13377609,Q13377609
Q1403016,Q1403016
Q1403016,Q6784016
Q1403016,Q11631566
Q14819852,Q14819852
Q14819852,Q25671
Q14819852,Q34581
Q14819852,Q159979
Q14819852,Q13424445
Q14819852,Q228036
Q14819852,Q490846
Q14819852,Q92208217
Q14819852,Q26753894
Q152074,Q152074
Q152074,Q102121362
Q171558,Q171558
Q171558,Q333495
Q171558,Q629257
Q171558,Q820355
Q171558,Q977367
Q171558,Q1550225
Q171558,Q1620824
Q171558,Q2715541
Q171558,Q2822717
Q171558,Q4825093
Q171558,Q5381256
Q171558,Q5526351
Q171558,Q11549517
Q171558,Q11642516
Q171558,Q11822042
Q171558,Q11875820
Q171558,Q15120872
Q171558,Q20180685
Q171558,Q42378719
Q171558,Q68800046
Q171558,Q99496989
Q171558,Q100938499
Q171558,Q51687506
Q171558,Q1778555
Q171558,Q12089136
Q171558,Q23007305
Q171558,Q54643580
Q171558,Q105807
Q171558,Q1321523
Q171558,Q15725976
Q171558,Q56318145
Q171558,Q220187
Q171558,Q2235325
Q171558,Q9687
Q171558,Q744913
Q171558,Q1078765
Q171558,Q1427114
Q171558,Q3305019
Q171558,Q7918434
Q171558,Q31836586
Q171558,Q17094485
Q171558,Q375102
Q171558,Q386899
Q171558,Q1339582
Q171558,Q7523802
Q171558,Q7833114
Q171558,Q9637047
Q171558,Q19403959
Q171558,Q48802726
Q171558,Q60895708
Q171558,Q61037771
Q171558,Q62730040
Q171558,Q885506
Q171558,Q3587621
Q171558,Q1074121
Q171558,Q1423039
Q171558,Q1527693
Q171558,Q1863435
Q171558,Q3002150
Q171558,Q4055822
Q171558,Q6539177
Q171558,Q12311704
Q171558,Q15931405
Q171558,Q17355126
Q171558,Q18009934
Q171558,Q99654400
Q171558,Q104776655
Q171558,Q1331380
